fips5,year,pqi_mean_rate,pqi_sum_count,pqi_sum_population,population,medi_cal_enrollment,medi_cal_share,pcp_supply,pcp_per_100k,shortage_flag,shortage_score,age65_pct,hispanic_pct,bachelors_pct,poverty_pct,unemp_pct,high_medi_cal_q,low_pcp_q,high_medi_cal_thr,low_pcp_thr,desert_q_def1,desert_thr_def1,desert_q_def2,desert_thr_def2,ed_visits,ed_admissions,ed_total,ed_visits_per_1k,ed_admits_per_1k,ed_admit_share,log_ed_visits_per_1k
06001,2020,191.27857142857144,24615.0,1248021.357142857,1682353.0,410823.6666666667,0.2441958772425684,2311,138.96862151465976,1,7,14.9,2.1,51.5,9.2,5.2,False,False,False,False,0,0,0,0,433225.0,68314.0,501539.0,257.5113546324701,40.60622235642579,0.136208749469134,5.5514520718009654
06005,2020,183.96428571428572,865.0,33660.230769230766,40474.0,5462.833333333333,0.1349714219828367,39,97.42449601558792,1,7,27.2,5.0,22.4,7.8,6.1,False,False,False,False,0,0,0,0,19628.0,1775.0,21403.0,484.9533033552404,43.8553145229036,0.08293229921039107,6.184258788723739
06007,2020,347.5,8423.0,155719.57142857142,211632.0,72038.58333333333,0.3403955135959275,140,67.28127578114363,1,9,18.2,4.3,31.7,18.3,7.1,False,False,True,False,0,0,0,1,66698.0,24995.0,91693.0,315.1602782187949,118.10595751115144,0.27259441833073406,5.753398577703859
06009,2020,200.70714285714288,1125.0,36944.15384615384,45292.0,11344.916666666666,0.2504838970826341,16,35.55687247675839,1,5,28.7,3.8,22.2,13.4,5.9,False,True,False,True,0,0,0,0,9347.0,818.0,10165.0,206.3719862227325,18.06058465071094,0.08047220855878012,5.330164743260104
06011,2020,394.6,658.0,14832.07142857143,21839.0,7114.75,0.3257818581436879,6,27.372470897741017,1,8,15.3,3.2,14.5,10.8,8.4,False,True,True,True,0,1,0,1,4397.0,494.0,4891.0,201.33705755758047,22.620083337149136,0.10100184011449602,5.305476963147954
06013,2020,221.0142857142857,19364.0,841770.4285714285,1165927.0,266229.1666666667,0.228341196890257,1553,134.05244215553682,1,7,16.7,2.6,44.9,8.3,5.9,False,False,False,False,0,0,0,0,245420.0,41038.0,286458.0,210.49345284910635,35.19774394108722,0.14326009397538209,5.349929511130716
06015,2020,120.96428571428572,507.0,20287.428571428572,27743.0,8419.083333333334,0.3034669406096433,20,74.2353756310007,1,5,19.8,10.3,21.0,11.6,6.4,False,False,True,False,0,0,0,1,13317.0,1364.0,14681.0,480.01297624626034,49.165555275204554,0.09290920237041074,6.1740214433871365
06017,2020,206.44285714285715,3787.0,150144.61538461538,191185.0,35439.166666666664,0.1853658323961956,134,70.37753521065117,1,7,22.8,2.5,38.8,8.3,4.8,False,False,False,False,0,0,0,0,35169.0,4951.0,40120.0,183.95271595574965,25.896383084447,0.1234047856430708,5.215222216335276
06019,2020,279.2642857142857,26403.0,674049.0714285715,1008654.0,476838.0833333333,0.4727469313890921,1113,109.28736390630156,1,10,12.7,3.1,23.9,18.7,8.5,True,False,True,False,0,0,1,1,247174.0,54840.0,302014.0,245.05330866679753,54.36948646413934,0.18158098631189282,5.5018837645054415
06021,2020,325.40000000000003,920.0,20557.92307692308,28917.0,9130.0,0.3157312307639105,9,31.15192911205464,1,8,16.8,3.8,16.5,12.4,7.4,False,True,True,True,0,1,0,1,4539.0,68.0,4607.0,156.96649029982362,2.3515579071134627,0.014760147601476014,5.056669220789755
06023,2020,166.42857142857142,2658.0,107063.6153846154,136463.0,49825.083333333336,0.3651178952048052,141,104.5642415013744,1,5,19.3,8.6,32.1,18.9,8.7,False,False,True,False,0,0,0,1,44958.0,6345.0,51303.0,329.4519393535244,46.496119827352466,0.12367697795450558,5.797733972335076
06025,2020,149.80714285714288,3227.0,124035.6153846154,179702.0,92091.5,0.512467863462844,54,29.621367611228692,1,7,13.5,2.7,16.1,19.6,12.6,True,True,True,True,1,1,1,1,66257.0,6458.0,72715.0,368.7048558168524,35.93727393128624,0.08881248710719934,5.910267658127356
06027,2020,188.30714285714288,409.0,14053.0,19016.0,3537.4166666666665,0.1860231734679568,16,84.60609692685978,1,7,24.4,15.1,31.8,10.5,2.7,False,False,False,False,0,0,0,0,7594.0,624.0,8218.0,399.3479175431216,32.81447202355911,0.07593088342662448,5.990083387603963
06029,2020,216.40714285714284,21287.0,598298.0714285715,909235.0,420486.1666666667,0.462461483188248,595,65.17824149469591,1,10,11.6,2.9,18.6,19.0,8.4,True,True,True,True,1,1,1,1,272825.0,41233.0,314058.0,300.05994049943087,45.349112165721735,0.13129103541384077,5.704315467588332
06031,2020,244.5,3061.0,107494.15384615384,152486.0,57347.25,0.3760820665503718,78,51.122454664323186,1,5,10.6,3.1,13.9,16.8,9.8,False,True,True,True,0,1,0,1,81997.0,6547.0,88544.0,537.7346117020579,42.93508912293588,0.07394063968196603,6.2875510997074615
06033,2020,200.42857142857144,1853.0,52287.692307692305,68163.0,26756.0,0.3925296715226736,32,47.375706625936715,1,8,23.6,6.6,17.7,16.7,11.5,True,True,True,True,1,1,1,1,32551.0,2252.0,34803.0,477.54646949224656,33.038451946070445,0.06470706548286068,6.168870855277095
06035,2020,134.9,439.0,25872.846153846152,32730.0,6943.0,0.2121295447601588,13,43.639781577298365,1,7,16.0,5.1,13.2,13.7,7.6,False,True,False,True,0,0,0,0,9100.0,556.0,9656.0,278.03238619003974,16.987473266116712,0.05758077879038939,5.628097209655655
06037,2020,212.62857142857143,187755.0,7321511.785714285,10014009.0,3819645.0,0.3814301544965657,11727,118.43398100875211,1,10,14.7,2.7,35.5,13.6,7.0,True,False,True,False,0,0,1,1,2418500.0,498268.0,2916768.0,241.51166630667097,49.757095285214945,0.1708288077762784,5.487331752588021
06039,2020,210.92142857142855,3134.0,109944.23076923077,156255.0,70543.58333333333,0.4514644864697663,156,98.23203329814054,1,7,14.4,5.0,17.1,19.9,10.6,True,False,True,False,0,0,1,1,91305.0,8261.0,99566.0,584.3333013343573,52.86870820133756,0.08297009019143081,6.370642662055831
06041,2020,117.45,2553.0,194991.64285714287,262321.0,45372.166666666664,0.172964294382328,407,158.2529701594,0,2,23.3,1.9,60.5,7.8,6.1,False,False,False,False,0,0,0,0,55431.0,8579.0,64010.0,211.3098074496514,32.704205915652956,0.13402593344789876,5.353798465215516
06043,2020,249.93571428571428,556.0,13943.53846153846,17131.0,2855.4166666666665,0.1666812600937871,8,47.04959811801608,1,6,29.4,6.2,30.9,13.9,6.9,False,True,False,True,0,0,0,0,5385.0,356.0,5741.0,314.34242017395366,20.781040219485142,0.06201010276955234,5.750800975671008
06045,2020,176.60714285714286,2087.0,70286.23076923077,91601.0,35627.166666666664,0.3889386214852093,80,88.50503925567263,1,9,24.1,6.8,24.9,15.2,9.3,True,False,True,False,0,0,1,1,42718.0,3883.0,46601.0,466.3486206482462,42.39036691739173,0.08332439218042531,6.145147876275888
06047,2020,286.0642857142857,7202.0,185393.92857142855,281202.0,133548.0,0.4749183860712228,132,46.056794074956265,1,7,11.6,3.0,14.8,18.4,10.8,True,True,True,True,1,1,1,1,68792.0,8248.0,77040.0,244.63552890804473,29.331228085148755,0.10706126687435098,5.50017815364849
06049,2020,157.04285714285714,261.0,6498.142857142857,8700.0,2075.8333333333335,0.2386015325670498,10,116.71789285297436,1,8,31.0,6.3,23.0,20.3,6.0,False,False,False,False,0,0,0,0,4389.0,218.0,4607.0,504.4827586206897,25.057471264367816,0.04731929672237899,6.2237318672139486
06051,2020,121.09285714285714,123.0,10909.333333333334,13195.0,1815.0833333333333,0.1375584185929013,13,99.6957999948874,1,5,16.4,6.8,34.3,11.0,2.0,False,False,False,False,0,0,0,0,8087.0,402.0,8489.0,612.8836680560819,30.466085638499433,0.04735540110731535,6.418338292932157
06053,2020,225.87857142857143,7992.0,301717.0,439035.0,172234.91666666666,0.3923033850756014,404,92.32653732825894,1,9,14.5,2.5,27.9,12.6,5.1,True,False,True,False,0,0,1,1,119823.0,24233.0,144056.0,272.9235710137005,55.19605498422677,0.16821930360415394,5.609558132167341
06055,2020,158.32857142857142,1868.0,107173.15384615384,138019.0,27773.083333333332,0.2012265219522915,154,113.00305621902048,1,6,20.6,2.5,38.5,8.4,5.1,False,False,False,False,0,0,0,0,24807.0,4284.0,29091.0,179.7361232873735,31.03920474717249,0.1472620398061256,5.192046010019321
06057,2020,168.72142857142856,1961.0,83284.53846153847,102241.0,24016.833333333332,0.2349041317410171,109,107.6289860987455,0,2,28.9,2.6,39.5,10.6,4.7,False,False,False,False,0,0,0,0,31533.0,4498.0,36031.0,308.41834489099284,43.99409238955018,0.12483694596319836,5.731781306378107
06059,2020,167.41428571428574,42529.0,2321912.3571428573,3186989.0,854446.6666666666,0.2681046802065104,4280,134.99394813929925,1,8,15.8,2.0,43.4,9.5,5.3,False,False,False,False,0,0,0,0,670188.0,145994.0,816182.0,210.28877099983714,45.809383088551606,0.1788743196983026,5.348957109666701
06061,2020,185.15714285714284,5484.0,293962.5,404739.0,59870.0,0.1479224883196331,701,169.99805185304342,1,7,20.2,2.4,42.9,6.7,4.5,False,False,False,False,0,0,0,0,172364.0,28317.0,200681.0,425.8645695126983,69.96360617583183,0.1411045390445533,6.054356172652556
06063,2020,167.06428571428572,413.0,15948.692307692309,19790.0,2987.0833333333335,0.1509390264443321,16,83.14639828856997,1,6,29.8,4.9,20.5,10.7,9.7,False,False,False,False,0,0,0,0,8956.0,439.0,9395.0,452.55179383527036,22.182920667003536,0.04672698243746674,6.115123162876748
06065,2020,234.34285714285716,47700.0,1696399.7142857143,2418185.0,856624.0833333334,0.3542425758712974,1956,79.6680173436785,1,10,15.1,3.1,25.1,11.1,6.6,False,False,True,False,0,0,0,1,634860.0,117636.0,752496.0,262.5357447837944,48.646402156989645,0.15632774127703006,5.570768071355548
06067,2020,211.9,32710.0,1131990.7857142857,1585055.0,544086.8333333334,0.3432605388035957,2132,134.24859981921776,1,8,14.9,3.1,33.3,12.6,6.4,False,False,True,False,0,0,0,1,444967.0,76201.0,521168.0,280.7265363031567,48.07467248770547,0.14621197003653333,5.637737170190695
06069,2020,218.75714285714284,917.0,46613.0,64209.0,10642.666666666666,0.1657503880556723,21,32.03026097036438,0,4,13.5,4.5,22.4,7.8,6.0,False,True,False,True,0,0,0,0,19823.0,1005.0,20828.0,308.72619103240976,15.65201140027099,0.04825235260226618,5.73277863007345
06071,2020,233.47857142857143,45912.0,1501387.642857143,2181654.0,860833.9166666666,0.394578570509653,2103,96.06542864229812,1,10,12.3,3.0,22.9,13.6,7.1,True,False,True,False,0,0,1,1,654004.0,114897.0,768901.0,299.77439135628293,52.66508804787561,0.14943016070989634,5.7033636914997174
06073,2020,204.03571428571428,53331.0,2410768.285714286,3298634.0,848916.25,0.2573538773928844,4483,135.7236259673235,1,8,15.0,2.5,42.1,10.4,6.2,False,False,False,False,0,0,0,0,725342.0,156846.0,882188.0,219.891627867778,47.54877321945993,0.17779203525779086,5.393589490481783
06075,2020,189.57142857142856,14383.0,699410.2142857143,873965.0,209027.5,0.2391714771186489,2389,280.6551203993628,1,8,17.2,1.8,60.1,10.6,5.6,False,False,False,False,0,0,0,0,178541.0,43254.0,221795.0,204.2885012557711,49.491684449606105,0.1950179219549584,5.3200226006598905
06077,2020,227.95,16720.0,531616.4285714285,779233.0,285013.3333333333,0.3657613747535503,649,82.14111987836195,1,7,13.3,6.1,21.6,12.6,7.4,False,False,True,False,0,0,0,1,291980.0,41491.0,333471.0,374.7017900935921,53.24594825937813,0.12442161387347025,5.926397326483043
06079,2020,149.60714285714286,4280.0,225631.6923076923,282424.0,55731.666666666664,0.1973333238912651,251,89.603069113358,1,5,21.6,2.6,39.2,12.8,5.1,False,False,False,False,0,0,0,0,73533.0,10267.0,83800.0,260.3638500977254,36.35314279239725,0.12251789976133652,5.562464080345861
06081,2020,164.84285714285716,8510.0,592843.0769230769,764442.0,140027.75,0.183176421494371,963,128.05206830241474,1,8,17.3,2.2,53.1,6.5,4.5,False,False,False,False,0,0,0,0,139887.0,21049.0,160936.0,182.99230026607643,27.535117118107063,0.13079112193667047,5.209990398726762
06083,2020,156.7642857142857,5725.0,324359.28571428574,448229.0,148561.33333333334,0.3314406995828769,462,103.917369945837,1,8,16.2,3.6,35.9,13.8,6.1,False,False,True,False,0,0,0,1,114490.0,18164.0,132654.0,255.4274712256458,40.52392861684541,0.13692764635819502,5.543329923338106
06085,2020,216.79285714285712,25609.0,1412090.642857143,1936259.0,393855.8333333333,0.2034107179531939,3242,169.09621498134047,1,6,14.4,1.9,55.9,6.9,4.5,False,False,False,False,0,0,0,0,395171.0,80253.0,475424.0,204.089948710374,41.44745098667069,0.1688030053173588,5.319050681749124
06087,2020,140.82142857142858,3470.0,212978.15384615384,270861.0,74121.58333333333,0.2736517377301765,341,128.43497649752922,1,7,18.3,3.0,43.6,11.2,5.6,False,False,False,False,0,0,0,0,54840.0,8998.0,63838.0,202.4654712195554,33.21999106552807,0.14095053103167393,5.3110631489561415
06089,2020,226.53571428571428,5130.0,138986.38461538462,182155.0,60972.75,0.3347300376053361,182,100.65842779278744,1,10,21.2,5.1,23.3,13.0,6.2,False,False,True,False,0,0,0,1,66521.0,14605.0,81126.0,365.18898740083995,80.17896846092613,0.18002859749032368,5.900688786620399
06093,2020,153.27142857142854,925.0,34305.61538461538,44076.0,15454.583333333334,0.3506348882233717,33,75.60801444953165,1,10,27.2,7.6,23.1,16.6,7.7,False,False,True,False,0,0,0,1,17573.0,1515.0,19088.0,398.6977039658771,34.372447590525454,0.07936923721709975,5.98845428071373
06095,2020,223.72142857142856,8163.0,342838.76923076925,453491.0,117537.33333333331,0.2591833869543901,501,111.37887491774416,1,7,16.9,2.8,28.4,9.7,5.9,False,False,False,False,0,0,0,0,155649.0,17877.0,173526.0,343.22401106085897,39.42084848431391,0.10302202551778984,5.838674639937017
06097,2020,177.82857142857142,7277.0,365845.0714285714,488863.0,114064.33333333331,0.2333257647507242,649,134.25229847588818,1,6,21.0,3.7,37.8,8.6,5.2,False,False,False,False,0,0,0,0,125991.0,19423.0,145414.0,257.72251121479843,39.73096757169186,0.13357035773721926,5.552271407153694
06099,2020,306.85,13757.0,375673.0714285714,552878.0,236740.83333333337,0.428197239415085,475,86.05919544013089,1,8,13.6,3.3,19.1,13.1,7.8,True,False,True,False,0,0,1,1,187239.0,33923.0,221162.0,338.6624173868376,61.35711675993619,0.1533853012723705,5.825299028014587
06101,2020,318.92857142857144,2725.0,71883.15384615384,99633.0,39168.916666666664,0.3931319609634023,75,75.42691634652131,1,9,16.1,4.3,20.2,14.8,7.0,True,False,True,False,0,0,1,1,,,,,,,
06103,2020,246.92142857142855,1678.0,48777.692307692305,65829.0,25299.083333333332,0.3843151701124631,37,56.77226649208768,1,9,20.0,5.0,18.8,15.4,6.7,True,True,True,True,1,1,1,1,24230.0,2198.0,26428.0,368.0748606237372,33.389539564629565,0.08316936582412593,5.908557990052332
06105,2020,51.364285714285714,159.0,12465.46153846154,16112.0,3767.75,0.233847442899702,5,31.296292432556488,1,8,29.3,5.6,18.0,18.0,5.9,False,True,False,True,0,0,0,0,3535.0,82.0,3617.0,219.40168818272096,5.089374379344588,0.022670721592479955,5.391359923523103
06107,2020,230.97142857142856,9790.0,306889.14285714284,473117.0,251401.16666666663,0.5313720848472294,316,66.05408700953708,1,10,11.7,3.3,15.8,17.8,8.8,True,False,True,False,0,0,1,1,100035.0,22680.0,122715.0,211.4381854805471,47.93740237615643,0.1848184818481848,5.354405528197178
06109,2020,167.57857142857142,1295.0,44847.84615384616,55620.0,11761.0,0.2114527148507731,37,67.62993629991135,1,8,27.7,4.4,23.9,10.7,7.9,False,False,False,False,0,0,0,0,27886.0,3094.0,30980.0,501.36641495864797,55.6274721323265,0.09987088444157521,6.217536635984277
06111,2020,210.99285714285716,14453.0,608142.7857142857,843843.0,224744.08333333337,0.2663340020991266,922,110.55334828561374,1,7,16.9,3.3,35.7,9.0,5.5,False,False,False,False,0,0,0,0,178757.0,35061.0,213818.0,211.83679902541112,41.54919813282803,0.1639759047414156,5.356288112421401
06113,2020,136.57857142857145,2737.0,165146.23076923078,216403.0,53941.25,0.2492629492197428,242,109.79762301757442,1,7,13.3,2.8,44.1,16.3,5.3,False,False,False,False,0,0,0,0,40055.0,4192.0,44247.0,185.0944765091057,19.37126564788843,0.09474088638777771,5.221406497302449
06115,2020,317.45714285714286,2424.0,57729.07692307692,81575.0,28603.083333333332,0.3506354070895903,29,34.897783589618115,1,8,13.1,5.7,17.9,15.3,7.3,False,True,True,True,0,1,0,1,52468.0,8500.0,60968.0,643.1872509960159,104.19859025436715,0.13941739929143157,6.4665913600890885
