NAME,DP02_0068PE,state,county
"Alameda County, California",51.5,6,1
"Alpine County, California",42.1,6,3
"Amador County, California",22.4,6,5
"Butte County, California",31.7,6,7
"Calaveras County, California",22.2,6,9
"Colusa County, California",14.5,6,11
"Contra Costa County, California",44.9,6,13
"Del Norte County, California",21,6,15
"El Dorado County, California",38.8,6,17
"Fresno County, California",23.9,6,19
"Glenn County, California",16.5,6,21
"Humboldt County, California",32.1,6,23
"Imperial County, California",16.1,6,25
"Inyo County, California",31.8,6,27
"Kern County, California",18.6,6,29
"Kings County, California",13.9,6,31
"Lake County, California",17.7,6,33
"Lassen County, California",13.2,6,35
"Los Angeles County, California",35.5,6,37
"Madera County, California",17.1,6,39
"Marin County, California",60.5,6,41
"Mariposa County, California",30.9,6,43
"Mendocino County, California",24.9,6,45
"Merced County, California",14.8,6,47
"Modoc County, California",23,6,49
"Mono County, California",34.3,6,51
"Monterey County, California",27.9,6,53
"Napa County, California",38.5,6,55
"Nevada County, California",39.5,6,57
"Orange County, California",43.4,6,59
"Placer County, California",42.9,6,61
"Plumas County, California",20.5,6,63
"Riverside County, California",25.1,6,65
"Sacramento County, California",33.3,6,67
"San Benito County, California",22.4,6,69
"San Bernardino County, California",22.9,6,71
"San Diego County, California",42.1,6,73
"San Francisco County, California",60.1,6,75
"San Joaquin County, California",21.6,6,77
"San Luis Obispo County, California",39.2,6,79
"San Mateo County, California",53.1,6,81
"Santa Barbara County, California",35.9,6,83
"Santa Clara County, California",55.9,6,85
"Santa Cruz County, California",43.6,6,87
"Shasta County, California",23.3,6,89
"Sierra County, California",24.4,6,91
"Siskiyou County, California",23.1,6,93
"Solano County, California",28.4,6,95
"Sonoma County, California",37.8,6,97
"Stanislaus County, California",19.1,6,99
"Sutter County, California",20.2,6,101
"Tehama County, California",18.8,6,103
"Trinity County, California",18,6,105
"Tulare County, California",15.8,6,107
"Tuolumne County, California",23.9,6,109
"Ventura County, California",35.7,6,111
"Yolo County, California",44.1,6,113
"Yuba County, California",17.9,6,115